Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
system,,,,"It is a much more streamlined <span class=""AS"">system</span> for adding programs, using the internet, and doing other things everyone does on a computer.","The new operating <span class=""AS"">system</span> makes this computer into a super iPad.","Chatting with Acer support, I was advised the problem was corrupted operating <span class=""AS"">system</span> files.","This <span class=""AS"">system</span> is not worth the money or trouble trying to get it fix.","Although i do believe that Windows operating <span class=""AS"">system</span> may be to fault for some of the problems.","The <span class=""AS"">system</span> constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.","The screen is bright and clear, the operating <span class=""AS"">system</span> is solid and friendly to a novice.","If you really want a bang-up <span class=""AS"">system</span> and don't need to run Windows applications, go with an Apple;","Nice and portable and definitely a decent enough <span class=""AS"">system</span> to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.","It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the <span class=""AS"">system</span> a bit.","Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with <span class=""AS"">system</span> performance when it comes to a mac.","My wireless <span class=""AS"">system</span> would not recognize Windows 7 and I couldn't get online to find out why.","Screen is crystal clear and the <span class=""AS"">system</span> is very responsive.","I noticed windows has a new <span class=""AS"">system</span> called Windows 7, what about us Vista users?","It could be a perfect laptop if it would have faster <span class=""AS"">system</span> memory and its radeon 5850 would have DDR5 instead of DDR3.","Then the <span class=""AS"">system</span> would many times not power down without a forced power-off.","From the speed to the multi touch gestures this operating <span class=""AS"">system</span> beats Windows easily.","Somehow the <span class=""AS"">system</span> clock got messed up after reboot.","so I went to a local best buy and played around with the IOS <span class=""AS"">system</span> on a Mac Pro","The operating <span class=""AS"">system</span> and user interface is very intuitive, and the large multi-touch track pad is amazing."
quality,,,,"True <span class=""AS"">quality</span> at a great price!","This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product <span class=""AS"">quality</span> for this price range.","in 5 months the connect <span class=""AS"">quality</span> got worse and worse.","In all honesty, if someone is looking for a <span class=""AS"">quality</span> laptop and willing to pay a little more money for a normal sized laptop than a cheaper and less impressive laptop, then do not buy this computer.","Can you buy any laptop that matches the <span class=""AS"">quality</span> of a MacBook?","The receiver was full of superlatives for the <span class=""AS"">quality</span> and performance.","All I will say now is that it was over two grand less expensive and so much better <span class=""AS"">quality</span> than my hunk of crap Vaio.","The overall build <span class=""AS"">quality</span> of the unit is excellent and she'd recommend it to anyone else looking for a netbook.","I believe that the <span class=""AS"">quality</span> of a mac is worth the price.","Treat yourself to a more expensive, long-lasting laptop of <span class=""AS"">quality</span> like a Sony, Apple, or Toshiba.","Its fast, has High definition <span class=""AS"">quality</span> in the videos.","The built <span class=""AS"">quality</span> is really good, I was so Happy and excited about this Product.","The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better <span class=""AS"">quality</span> web cam, nicer screen, and many other features.","I had static in the output, and I had to reduce the sound output <span class=""AS"">quality</span> to ""FM"" as opposed to the default ""CD.","sure once they unpdate the next version on the macbook book the <span class=""AS"">quality</span> of it will be better.","I never had this kind of <span class=""AS"">quality</span> issue with Dell (not to say Dell is that great), not with a brand new laptop.","Though please note that sometimes it crashes, and the sound <span class=""AS"">quality</span> isnt superb.","Very good <span class=""AS"">quality</span> and well made.","Here are the things that made me confident with my purchase:Build <span class=""AS"">Quality</span> - Seriously, you can't beat a unibody construction.","and I needed a cheaper, <span class=""AS"">quality</span> computer for the goals I am trying to pursue."
pictures,picture,,,"My daughter uses it for games, email, facebook, <span class=""AS"">pictures</span> and music.","Clear <span class=""AS"">picture</span> on it and everything.","They told me to reprogram the computer, and I didn't need  to do that, and I lost <span class=""AS"">pictures</span> of my oldests first 2 years of her  life.","The cool thing about the Mac Book was that I went on my honeymoon and shot a bunch of <span class=""AS"">pictures</span> and movies with my iPhone, then I came back and put them onto my Macbook and made a pretty good DVD movie with all the pictures and videos from my trip.","The PhotoBooth is a great program, it takes very good <span class=""AS"">pictures</span> with the built-in camera.","The LED backlit display makes my <span class=""AS"">pictures</span> pop so much more.","I do find that my MacBook has a lot more bells and whistles than a normal PC especially if you enjoy technology, downloading <span class=""AS"">pictures</span> and graphic design.","the retina display display make <span class=""AS"">pictures</span> i took years ago jaw dropping.","Iphoto is great for adding <span class=""AS"">pictures</span> right to facebook and other social networking sites.","The <span class=""AS"">pictures</span> are clear as can be.","My friend reports the notebook is astonishing in performance, <span class=""AS"">picture</span> quality, and ease of use."
programs,program,,,"With all the <span class=""AS"">programs</span> that came with it, such as iLife and iWork, I was set from the very beginning.","I run windows via bootcamp for the couple <span class=""AS"">programs</span> I do not want to buy a mac version of, like my cad programs.","This wiped out several <span class=""AS"">programs</span> that were installed on the computer when it was bought.","It is loaded with <span class=""AS"">programs</span> that is of no good for the average user, that makes it run way to slow.","I was also able to install and use my Photoshop and AfterEffects <span class=""AS"">programs</span> easily.","The large screen also helps when you are working in design based <span class=""AS"">programs</span> like Adobe Creative Suite.","I use iphoto all the time, which is a great <span class=""AS"">program</span> for anyone who is into photography - amateurs and experts alike.","Love the graphics, awesome <span class=""AS"">programs</span> (including Garageband), and really cool default background.","All the things you can do with the trackpad make navigating around the computer and its <span class=""AS"">programs</span> so much simpler, quicker, and easier.","The capabilities using that <span class=""AS"">program</span> alone made me want a Mac.","MacBook Notebooks quickly die out because of their short battery life, as well as the many background <span class=""AS"">programs</span> that run without the user's knowlede.","Not only are the versions of these <span class=""AS"">programs</span> able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.","In fact I still use manyLegacy <span class=""AS"">programs</span> (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!","You can even run a parallels type <span class=""AS"">program</span> easily and run any leftover PC software that you absolutely cannot be without.","I like those <span class=""AS"">programs</span> better than Office and you can save your files to be completely compatible with the Office programs as well.","iPhotos is an excellent <span class=""AS"">program</span> for storing and organizing photos.","I bought it to be able to dedicate a small, portable laptop to my writing and was surprised to learn that I needed to buy a word processing <span class=""AS"">program</span> to do so.","The <span class=""AS"">program</span> came with the computer and works beautifully.","All of the <span class=""AS"">programs</span> (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.","You won't have to spend gobs of money on some inefficient virus <span class=""AS"">program</span> that needs to be updated every month and that constantly drains your wallet."
version,,,,"I had the staff telling me older <span class=""AS"">version</span> did not make the fan noise cause it is a ""different"" computer.","I tried to upgrade it to a newer <span class=""AS"">version</span> a couple of months ago","the latest <span class=""AS"">version</span> does not have a disc drive.","I run windows via bootcamp for the couple programs I do not want to buy a mac <span class=""AS"">version</span> of, like my cad programs.","This <span class=""AS"">version</span> of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","The Mac <span class=""AS"">version</span> of Microsoft Office is cheaper than buying the actual and works just as well.","If you get a lemon (I have two thirds of my  Macs), you have to send it in for repairs several times before they will replace it, even if they have numerous problems with the same <span class=""AS"">version</span> of their computers.","I think this will happen to any new <span class=""AS"">version</span> of computer/phone released and I need to wait for the next set of updates to have all of this fixed.","sure once they unpdate the next <span class=""AS"">version</span> on the macbook book the quality of it will be better.","You just get a trial <span class=""AS"">version</span> either way.","The other lock-up problems are from a myriad of causes, the most common being a corrupted <span class=""AS"">version</span> of Appleworks which can render the browser useless."
condition,,,,"The Like New <span class=""AS"">condition</span> of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.","It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the <span class=""AS"">condition</span> and the overall product.","It is in the best <span class=""AS"">condition</span> and has a really high quality.","I sent it to them to fix in perfect <span class=""AS"">condition</span> but for what was wrong with it.","Laptop was in new <span class=""AS"">condition</span> and operational, but for the audio problem when 1st sent for repair.","in air <span class=""AS"">condition</span> it gets slightly warm......"
card,,,,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic <span class=""AS"">card</span> (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.","The ATI graphics <span class=""AS"">card</span> is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","Now the machine won't connect and Toshiba says that they did replace the connection <span class=""AS"">card</span> in May but they only warranty the repair for 30 days","The switchable graphic <span class=""AS"">card</span> is pretty sweet when you want gaming on the laptop.","You can't even get a satellite <span class=""AS"">card</span> which is why I bought to begin with.","In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit <span class=""AS"">card</span> ready"").","I re-seated the ""WLAN"" <span class=""AS"">card</span> inside and re-installed the LAN device drivers.","There is no HDMI receptacle, nor is there an SD <span class=""AS"">card</span> slot located anywhere on the device.","The first time I used the <span class=""AS"">card</span> reader it took half an hour and a pair of tweezers to remove the card.","That's very possible, but since they don't make Windows XP drivers for the sound <span class=""AS"">card</span> in this machine, I was stuck until Windows 7 came out.","Sound <span class=""AS"">card</span> is limited though.","You have to toss out the wifi <span class=""AS"">card</span> and replace it just to have any sort of network capability.","it has 3 usb ports, 1 sd memory <span class=""AS"">card</span> reader and an sd memory car expansion.","The video <span class=""AS"">card</span> is great for media, and above average for gaming, but not a gamers first choice."
experience,,,,"I also <span class=""AS"">experience</span> the same with my MacBook Air.","However, the <span class=""AS"">experience</span> was great since the OS does not become unstable and the application will simply shutdown and reopen.","Garageband is easy to work with, like all the other apple applications I've had <span class=""AS"">experience</span> with.","This is my first personal Satellite purchase but had very good <span class=""AS"">experience</span> through previous Satellite work issued laptops.","I have never had an <span class=""AS"">experience</span> like this.","I know that ASUS is known for making motherboards, but this is the worst computer <span class=""AS"">experience</span> that I have ever had.","After the bad <span class=""AS"">experience</span> with this computer went back to compaq.","1st hand <span class=""AS"">experience</span> is very important, especially for a new customer.","A veryimportant feature is Firewire 800 which in my <span class=""AS"">experience</span> works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS","That whole <span class=""AS"">experience</span> was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it","I do not <span class=""AS"">experience</span> a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.","Ever since I bought this laptop, so far I've <span class=""AS"">experience</span> nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.","I was a little worry at first because I don't have a lot of <span class=""AS"">experience</span> with os.x and windows has always been second nature to me after many years of using windows.","I've always used PC's for work home and this is my first <span class=""AS"">experience</span> with a Mac.","It was a bad <span class=""AS"">experience</span> but i played down its importance.","you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the <span class=""AS"">experience</span> in mac.","Long story short, since I <span class=""AS"">experience</span> so many problems with my laptop","Processor - When compared to my 3 week old Early 2011 edition there I barely <span class=""AS"">experience</span> any difference in performance (2.3 GHz v/s 2.4 GHz)."
games,game,,,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older <span class=""AS"">games</span> that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","i love the size of the computer since i play <span class=""AS"">games</span> on it.","They played <span class=""AS"">games</span> with me for the warranty period.","And if you are a <span class=""AS"">game</span> player it works with World Of Warcraft wonderfully.","overall i would recomend this to anybody and tell them that if they want to burn their music or play there video <span class=""AS"">games</span> to buy the cd drive.","This computer doesn't do that well with certain <span class=""AS"">games</span> it can't play some and it becomes too hot while playing games.","You know, using the computer should be fun, not aggrevation, especially when you are playing <span class=""AS"">games</span> or working with photos.","It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other <span class=""AS"">games</span> with comparable graphics.","It played various <span class=""AS"">games</span> without problems and ran aero smoothly and flawlessly.","It's a long and tirring process that after a while it seems like their <span class=""AS"">game</span> plan was to wear you out so you would want to give up on contacting them.","It drives me crazy when I want to download a <span class=""AS"">game</span> or something of that nature","As far as user type - I dabble in everything from <span class=""AS"">games</span> (WoW) to Photoshop, but nothing professionally.","my niece and nephew have played a few web <span class=""AS"">games</span> and it runs anything that doesn't require a dedicated video card.","The <span class=""AS"">games</span> included are very good games.","I play a lot of casual <span class=""AS"">games</span> online, and the touchpad is very responsive.","Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong <span class=""AS"">game</span> and is very useful for designers.","The one down side to it is that when I play a certin <span class=""AS"">game</span> on here, it tends to freeze up sometimes, but thats the only bad thing about this computer."
sony,,,,"But <span class=""AS"">Sony</span> said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.","As I soon discovered, though, there is a reason for which similarly-configured <span class=""AS"">Sony</span> and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","They sent out a <span class=""AS"">Sony</span> 'Certified' technician.","I bought this MacBook Pro to replace my six-year-old PC (a <span class=""AS"">Sony</span> Vaio), but it was basically no better than my old PC, so I returned it.","I can't even remember how I finally got it taken care of, but I was done with <span class=""AS"">Sony</span> after that!","Looked at HP, ASUS, Acer, <span class=""AS"">Sony</span> and a bunch of other ones but could not find I really liked.","My opinion of <span class=""AS"">Sony</span> has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.","That included the extra <span class=""AS"">Sony</span> Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
disk,,,,"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the <span class=""AS"">disk</span> throughput has temporarily dropped to zero.","Tried to make a recovey <span class=""AS"">disk</span> wouldnt get passed the first recovery disk.","So, the hard <span class=""AS"">disk</span> capacity really doesn't matter to me.","After replacing the spinning hard <span class=""AS"">disk</span> with an ssd drive, my mac is just flying.","it might be something deep within Windows, for I was unable to create a <span class=""AS"">disk</span> image on my hard drive.","It's ok but doesn't have a <span class=""AS"">disk</span> drive which I didn't know until after I bought it.","No startup <span class=""AS"">disk</span> was not included but that may be my fault.","I had to call HP and ask for a recovery <span class=""AS"">disk</span> because the computer does not come with one and completely redo it all.","I always use a backup hard <span class=""AS"">disk</span> to store important files at all times.","They went through asking me open up various components, taking battery out, hard <span class=""AS"">disk</span> apart, and after 2 hours on phone could not fix it.","Hard <span class=""AS"">disk</span> - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.","No installation <span class=""AS"">disk</span> (DVD) is included."
dell laptop,,,,"I previously owned an older <span class=""AS"">Dell laptop</span> that died after about 5 or 6 years.","I had in the past a <span class=""AS"">Dell laptop</span> and they sent me the items it needed or they sent a repair technician to my house to fix it."
weight,,,,"Of course, for a student, <span class=""AS"">weight</span> is always an issue.","It is easy to use, its keyboard easily accommodates large hands, and its <span class=""AS"">weight</span> is fantasic.","also it is light <span class=""AS"">weight</span> compared to others.","also...- excellent operating system- size and <span class=""AS"">weight</span> for optimal mobility- excellent durability of the battery-","I dislike the <span class=""AS"">weight</span> and size, cubersome.","Right size and <span class=""AS"">weight</span> for portability."
equipment,,,,"To be honest i think it was faulty <span class=""AS"">equipment</span> or something","without having to have extra <span class=""AS"">equipment</span> and/or complicated routes to take to be able to do so."
user interface,,,,"The operating system and <span class=""AS"">user interface</span> is very intuitive, and the large multi-touch track pad is amazing."
